,0,1,2,3,4,5
0,1.2750715,1.5790697,1.8579795,-0.21903725,0.15963665,0.19481623
1,-0.6695966,-0.26004413,0.95884335,0.22674279,-0.58354115,-0.9322094
2,-0.46196288,0.8946003,0.3949382,-0.29345548,0.020590032,-0.34172192
3,-0.49831384,0.8862338,0.3198976,-0.30567777,0.040576898,-0.3466089
4,-0.26213545,1.00046,0.5358462,-0.25027454,0.07361641,0.91573924
5,0.53771585,0.41217145,-0.45521,-0.6207971,0.71140313,0.12436405
6,1.2999822,0.09128242,-1.0343864,-0.7254429,1.2556461,0.5296694
7,-0.8467227,0.36313644,-1.1183469,-0.6172548,0.42991474,-0.2582234
8,0.8185618,-1.7007009,1.9043396,1.2226313,-1.3596246,0.7715395
9,-0.59423304,0.8635591,0.1654715,-0.28692448,0.07081186,0.82739335
10,-0.49092564,0.6966299,-0.38839334,-0.50182784,0.328469,0.7110117
11,-0.21189904,2.253569,0.74584216,3.6506786,-2.7765636,-4.229283
12,0.12244733,-2.3735158,0.67731977,1.5267378,-1.6290811,0.38949567
13,0.6560202,0.11625786,-0.91991353,-0.718413,0.9381764,0.18403582
14,0.26747423,1.1211079,0.69518024,-0.38713193,0.21584743,-0.07709776
15,-2.1035056,0.107642554,-1.6440204,-0.42693573,0.07677939,0.3878935
16,1.192311,0.0062643886,-1.2654507,-0.7346163,1.2834146,0.4306277
17,1.3145083,0.19187891,-0.7800656,-0.66794306,1.1263744,0.41559964
18,-1.0597714,-1.5448503,0.39192775,0.5952359,-0.9757256,-1.4914418
19,-0.88120395,-2.0217016,0.28798988,0.87531865,-1.1804441,0.54523665
20,-0.9668242,-1.9261786,0.34422567,0.74774045,-1.1009316,-1.6496778
21,0.86755097,-0.1345675,-1.7522261,-0.76805997,1.3302711,0.35439703
22,0.6373079,0.783419,0.21474749,-0.5246484,0.51082945,0.8258796
23,1.1283114,1.0265356,0.696953,-0.5139002,0.5174939,0.18914488
24,1.4960364,-1.5828546,2.6161835,1.4405166,-1.4481345,-1.6279829
25,-0.7936273,0.7003502,0.564981,-0.060422786,-0.289423,0.84576666
26,-0.55005586,-2.537057,0.29756552,1.2613231,-1.4577591,-2.1950328
27,0.63627505,1.1476978,0.8136035,-0.38695967,0.30102462,0.99242574
28,2.2019625,-0.07822766,2.4122694,2.4923732,-2.114984,-2.6193545
29,-1.0970745,-1.3258783,0.3781265,0.5869453,-0.9168649,0.6367976
